amfi_code,CAGR_3Y,Sharpe_Ratio,Alpha,Max_Drawdown,expense_ratio_pct,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Fund_Score
119599,-0.006866124385353167,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,0.72,37.0,32.0,36.0,5.5,40.0,15.627743634767327
120503,0.1480416951560286,0.7979728586052847,0.17703302365844073,-0.13897862823061635,1.42,24.0,17.0,17.0,20.0,14.0,57.33099209833187
120504,0.28369809430069837,1.0265242847993,0.2119482701352573,-0.12588275606922517,0.8,6.0,10.0,13.0,12.0,12.0,90.16681299385426
120505,0.30206534630200976,1.1801011976606504,0.2926358334175106,-0.18188513572116294,1.36,5.0,5.0,3.0,15.0,25.0,96.4881474978051
120506,0.18246287427399865,0.6488787755249532,0.1625385327998104,-0.1982565826298267,1.41,15.0,20.0,20.0,19.0,27.0,58.03336259877085
120507,0.07051904540600296,0.4957233929533123,0.06746210411099539,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,48.37576821773485
120841,0.16684258851596145,0.4942725378672349,0.13042924450705445,-0.1757361416468729,1.59,20.0,24.0,25.0,35.0,24.0,38.366988586479366
120842,0.10040620430039637,0.07599984804658923,0.0780443887615508,-0.24003511326274884,1.56,27.0,30.0,29.0,33.0,33.0,20.807726075504824
120843,0.2566188265022562,1.3067439695428396,0.27330465038306057,-0.1297396816518679,1.45,10.0,2.0,5.0,22.0,13.0,92.97629499561019
120844,0.0654165743882027,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,38.71817383669886
125497,0.1770571225538371,0.7757902498211205,0.17729754927531766,-0.15200013055606398,0.92,18.0,18.0,16.0,14.0,18.0,65.23266022827042
125498,0.12492937768565682,0.30061192104254786,0.11989100971217971,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,40.12291483757682
148567,0.3127857318272198,1.4482911703262602,0.2698375144191807,-0.11265729075028275,1.46,4.0,1.0,7.0,23.0,8.0,100.0
148568,0.13077495792463978,0.9262873467360144,0.20873010086942337,-0.1527259422823477,1.52,25.0,15.0,14.0,26.5,19.0,54.96049165935031
148569,0.23317122535147572,1.2349300257743292,0.2827036785246582,-0.1639674294693263,1.6,13.0,3.0,4.0,36.5,21.0,79.19227392449517
149322,0.16528044392382957,0.46403744922047774,0.13173190226099432,-0.14844576917771746,1.54,21.0,25.0,24.0,30.5,16.0,42.31782265144862
149323,0.24242464971409516,1.1321218524747234,0.26598577542043045,-0.17248105753451382,1.61,12.0,6.0,8.0,38.0,22.0,73.6611062335382
149324,0.25029675402929885,0.9497958246616044,0.3005787817097677,-0.31171900300634214,1.52,11.0,13.0,2.0,26.5,37.0,73.57330992098332
